events
INTERPRETAÇÃO DE EXAMES LABORATORIAIS
SEGURANÇA DO PACIENTE E GESTÃO DA QUALIDADE
Cerimônia do Jaleco e Cerimônia da Lâmpada
Visita à Estação Ferroviária de Maranguape
Visita à obra do Edifício One Residencial
RAP CONVIDA: QUESTIONÁRIO DE PESQUISA CIENTÍFICA
Visita à Madeireira Geovane
Visita a Secretaria dos Recursos Hídricos do Ceará
"Intercâmbio Virtual em ""Sexualidade Humana"""
CERIMÔNIA DO JALECO - Campus Benfica
Química Fisiológica - Parquelândia
Canva para o ensino e criação de produtos.
